team,home_stdm,address_home_stdm
川崎フロンターレ,等々力競技場,岐阜県岐阜市長良福光大野2675-28
横浜Ｆ・マリノス,日産スタジアム,東京都町田市野津田町2035
湘南ベルマーレ,Ｓｈｏｎａｎ　ＢＭＷスタジアム平塚,東京都調布市西町376-3
セレッソ大阪,ヤンマースタジアム長居,長崎県諫早市宇都町27-1
ベガルタ仙台,ユアテックスタジアム仙台,福岡県福岡市博多区東平尾公園2-1-1
浦和レッズ,埼玉スタジアム２００２,新潟県新潟市中央区清五郎67-12
ヴァンフォーレ甲府,山梨中銀スタジアム,山梨県甲府市小瀬町840
大宮アルディージャ,ＮＡＣＫ５スタジアム大宮,兵庫県神戸市兵庫区御崎町1-2-2
ジュビロ磐田,ヤマハスタジアム（磐田）,鳥取県鳥取市蔵田423
サガン鳥栖,ベストアメニティスタジアム,富山県富山市南中田368
大分トリニータ,大分銀行ドーム,香川県丸亀市金倉町830
サンフレッチェ広島,エディオンスタジアム広島,大阪府吹田市千里万博公園5-2
名古屋グランパス,名古屋市瑞穂陸上競技場,福岡県北九州市八幡西区御開4-16-1
柏レイソル,日立柏サッカー場,北海道札幌市豊平区羊ヶ丘1
清水エスパルス,ＩＡＩスタジアム日本平,佐賀県鳥栖市京町812
アルビレックス新潟,デンカビッグスワンスタジアム,群馬県前橋市敷島町66
鹿島アントラーズ,県立カシマサッカースタジアム,群馬県前橋市敷島町66
徳島ヴォルティス,鳴門・大塚スポーツパーク　ポカリスエットスタジアム,広島県広島市安佐南区大塚西5-1-1
アビスパ福岡,レベルファイブスタジアム,千葉県千葉市中央区川崎町1-20
東京ヴェルディ,味の素スタジアム,静岡県磐田市新貝2500
モンテディオ山形,ＮＤソフトスタジアム山形,大阪府大阪市東住吉区長居公園1-1
松本山雅ＦＣ,松本平広域公園総合球技場,岡山県岡山市北区いずみ町2-1
ＦＣ岐阜,岐阜メモリアルセンター長良川競技場,宮城県仙台市泉区七北田字柳78
ガイナーレ鳥取,とりぎんバードスタジアム,山形県天童市山王1-1
横浜ＦＣ,ニッパツ三ツ沢球技場,熊本県熊本市東区平山町2776
Ｖ・ファーレン長崎,長崎県立総合運動公園陸上競技場,愛媛県松山市上野町乙46
ザスパクサツ群馬,正田醤油スタジアム群馬,埼玉県さいたま市緑区中野田500
ヴィッセル神戸,ノエビアスタジアム神戸,神奈川県横浜市港北区小机町3300
ファジアーノ岡山,シティライトスタジアム,神奈川県横浜市神奈川区三ツ沢西町3-1
ロアッソ熊本,うまかな・よかなスタジアム,京都府京都市右京区西京極新明町29
カターレ富山,富山県総合運動公園陸上競技場,茨城県鹿嶋市神向寺後山26-2
ガンバ大阪,万博記念競技場,長野県松本市神林5300
ジェフユナイテッド千葉,フクダ電子アリーナ,神奈川県平塚市大原1-1
愛媛ＦＣ,ニンジニアスタジアム,茨城県水戸市小吹町2058-1
ギラヴァンツ北九州,北九州市立本城陸上競技場,静岡県静岡市清水区村松3880-1
水戸ホーリーホック,ケーズデンキスタジアム水戸,神奈川県川崎市中原区等々力1-1
京都サンガF.C.,京都市西京極総合運動公園陸上競技場兼球技場,埼玉県さいたま市大宮区高鼻町4
カマタマーレ讃岐,香川県立丸亀競技場,大分県大分市大字横尾1351
コンサドーレ札幌,札幌ドーム,東京都調布市西町376-3
ＦＣ東京,味の素スタジアム,徳島県鳴門市撫養町立岩字四枚61
ザスパ草津,正田醤油スタジアム群馬,栃木県宇都宮市清原工業団地32
ＦＣ町田ゼルビア,町田市立陸上競技場,千葉県柏市日立台1-2-50
栃木ＳＣ,栃木県グリーンスタジアム,愛知県名古屋市瑞穂区山下通5-1
